id,name,lat,lng,country,city,iata
4791,Marcos A. Gelabert International Airport,8.973340034484863,-79.55560302734375,PA,Albrook,PAC
4795,Aerotortuguero Airport,10.42,-83.6095,CR,Roxana,TTQ
4797,Barra del Colorado Airport,10.768699645996094,-83.58560180664062,CR,Pococi,BCL
4798,Coto 47 Airport,8.60155963897705,-82.96859741210938,CR,Corredores,OTR
4804,Golfito Airport,8.654009819030762,-83.18219757080078,CR,Golfito,GLF
4808,Limon International Airport,9.95796012878418,-83.02200317382812,CR,Puerto Limon,LIO
4809,Nosara Airport,9.976490020750001,-85.65299987790002,CR,Nicoya,NOB
4810,Juan Santamaría International Airport,9.99386,-84.208801,CR,San José (Alajuela),SJO
32160,Puerto Jimenez Airport,8.533329963684082,-83.30000305175781,CR,Puerto Jimenez,PJM
4812,Palmar Sur Airport,8.95103,-83.468597,CR,Palmar Sur,PMZ
4813,Tobías Bolaños International Airport,9.95705,-84.139801,CR,San Jose,SYQ
4814,Quepos Managua Airport,9.443160057067871,-84.12979888916016,CR,Quepos,XQP
4822,Les Cayes Airport,18.271099090576172,-73.78829956054688,HT,Les Cayes,CYA
4823,Cap Haitien International Airport,19.726734,-72.199576,HT,Cap Haitien,CAP
4824,Jacmel Airport,18.241100311279297,-72.51850128173828,HT,Jacmel,JAK
31696,Jérémie Airport,18.66309928894043,-74.17030334472656,HT,Jeremie,JEE
4826,Gustavo Rizo Airport,20.365299224853516,-74.5062026977539,CU,Baracoa,BCA
4828,Carlos Manuel de Cespedes Airport,20.3964,-76.621399,CU,Bayamo,BYM
4829,Maximo Gomez Airport,22.027099609375,-78.78959655761719,CU,Ciego de Avila,AVI
4831,Jardines Del Rey Airport,22.461000442499998,-78.32839965820001,CU,Cayo Coco,CCC
4832,Jaime Gonzalez Airport,22.149999618530273,-80.41419982910156,CU,Cienfuegos,CFG
4833,Vilo Acuña International Airport,21.6165008545,-81.5459976196,CU,Cayo Largo del Sur,CYO
4834,Ignacio Agramonte International Airport,21.420299530029297,-77.84750366210938,CU,Camaguey,CMW
4835,Antonio Maceo International Airport,19.96980094909668,-75.83540344238281,CU,Santiago,SCU
4838,Mariana Grajales Airport,20.08530044555664,-75.1583023071289,CU,Guantánamo,GAO
4840,Frank Pais International Airport,20.785600662231445,-76.31510162353516,CU,Holguin,HOG
4847,Sierra Maestra International Airport,20.288605,-77.087545,CU,Manzanillo,MZO
4849,Rafael Cabrera Airport,21.834699630737305,-82.78379821777344,CU,Nueva Gerona,GER
4851,Playa Baracoa Airport,23.032800674399997,-82.5793991089,CU,Havana,UPB
4858,Alberto Delgado Airport,21.788299560546875,-79.99720001220703,CU,Trinidad,TND
4860,Hermanos Ameijeiras Airport,20.987600326538086,-76.93579864501953,CU,Las Tunas,VTU
4861,Charles Kirkconnell International Airport,19.687,-79.882797,KY,Cayman Brac,CYB
4926,Congo Town Airport,24.158701,-77.589798,BS,Andros,TZN
4927,Leonard M Thompson International Airport,26.5114,-77.083503,BS,Marsh Harbour,MHH
4928,San Andros Airport,25.053800582885742,-78.04900360107422,BS,Andros Island,SAQ
4929,Spring Point Airport,22.441799163800003,-73.97090148930002,BS,Spring Point,AXP
4931,Treasure Cay Airport,26.745300293,-77.3912963867,BS,Treasure Cay,TCB
4933,Chub Cay Airport,25.41710090637207,-77.88089752197266,BS,,CCZ
4935,South Bimini Airport,25.6998996735,-79.2647018433,BS,South Bimini,BIM
4936,Arthur's Town Airport,24.6294,-75.673797,BS,Arthur's Town,ATC
4937,New Bight Airport,24.3153,-75.452301,BS,Cat Island,TBI
4938,Colonel Hill Airport,22.7456,-74.182404,BS,Colonel Hill,CRI
4939,Exuma International Airport,23.562599,-75.877998,BS,Moss Town,GGT
4941,North Eleuthera Airport,25.474899292,-76.6835021973,BS,North Eleuthera,ELH
4942,Governor's Harbour Airport,25.2847,-76.331001,BS,Governor's Harbour,GHB
4946,Grand Bahama International Airport,26.5587005615,-78.695602417,BS,Freeport,FPO
4947,Inagua Airport,20.975000381469727,-73.66690063476562,BS,Matthew Town,IGA
4948,Deadman's Cay Airport,23.1790008545,-75.09359741210001,BS,Deadman's Cay,LGI
4949,Stella Maris Airport,23.582317,-75.268621,BS,Stella Maris,SML
4950,Mayaguana Airport,22.379499,-73.013494,BS,Abrahams Bay,MYG
4954,San Salvador Airport,24.063299,-74.524002,BS,San Salvador,ZSA
300544,Changbaishan Airport,42.066944,127.602222,CN,Baishan,NBS
4958,Rarotonga International Airport,-21.2027,-159.806,CK,Avarua,RAR
4959,Nadi International Airport,-17.755399703979492,177.4429931640625,FJ,Nadi,NAN
4960,Nausori International Airport,-18.04330062866211,178.5590057373047,FJ,Nausori,SUV
4961,Labasa Airport,-16.466699600219727,179.33999633789062,FJ,,LBS
4962,Fua'amotu International Airport,-21.241199493408203,-175.14999389648438,TO,Nuku'alofa,TBU
4963,Lifuka Island Airport,-19.777000427246094,-174.34100341796875,TO,Lifuka,HPA
4964,Vava'u International Airport,-18.58530044555664,-173.96200561523438,TO,Vava'u Island,VAV
44578,Gombe Lawanti International Airport,10.298889,10.9,NG,Gombe,GMO
32192,Warri Airport,5.59611,5.81778,NG,Warri,QRW
44571,Funafuti International Airport,-8.525,179.195999,TV,Funafuti,FUN
4972,Bonriki International Airport,1.38164,173.147003,KI,Tarawa,TRW
4974,Niue International Airport,-19.079030990600586,-169.92559814453125,NU,Alofi,IUE
316547,Ninglang Luguhu Airport,27.5403,100.7593,CN,Ninglang,NLH
31215,Pointe Vele Airport,-14.3114004135,-178.065994263,WF,Futuna Island,FUT
4975,Hihifo Airport,-13.2383003235,-176.199005127,WF,Wallis Island,WLS
4976,Faleolo International Airport,-13.829999923706055,-172.00799560546875,WS,Apia,APW
4977,Fitiuta Airport,-14.215622,-169.424254,AS,Fitiuta Village,FTI
4978,Pago Pago International Airport,-14.331,-170.710007,AS,Pago Pago,PPG
4980,Rurutu Airport,-22.434099197387695,-151.36099243164062,PF,,RUR
4981,Tubuai Airport,-23.365400314331055,-149.5240020751953,PF,,TUB
4983,Anaa Airport,-17.3526,-145.509995,PF,Anaa,AAA
4985,Tikehau Airport,-15.119600296020508,-148.2310028076172,PF,,TIH
4987,Fakarava Airport,-16.054100036621094,-145.65699768066406,PF,,FAV
4988,Manihi Airport,-14.436800003051758,-146.07000732421875,PF,,XMH
4989,Totegegie Airport,-23.07990074157715,-134.88999938964844,PF,,GMR
4990,Kaukura Airport,-15.6633,-146.884995,PF,Raitahiti,KKR
4991,Makemo Airport,-16.5839,-143.658005,PF,Makemo,MKP
4993,Takapoto Airport,-14.709500312805176,-145.24600219726562,PF,,TKP
4994,Arutua Airport,-15.248299598693848,-146.61700439453125,PF,,AXR
4995,Mataiva Airport,-14.8681001663208,-148.7169952392578,PF,,MVT
4997,Ahe Airport,-14.428099632263184,-146.2570037841797,PF,Ahe Atoll,AHE
5000,Takaroa Airport,-14.45580005645752,-145.02499389648438,PF,,TKX
5001,Nuku Hiva Airport,-8.7956,-140.229004,PF,Nuku Hiva,NHV
5002,Hiva Oa-Atuona Airport,-9.76879024506,-139.011001587,PF,Hiva Oa Island,AUQ
5003,Bora Bora Airport,-16.444400787353516,-151.75100708007812,PF,Motu Mute,BOB
5004,Rangiroa Airport,-14.954299926757812,-147.66099548339844,PF,,RGI
5005,Huahine-Fare Airport,-16.687084,-151.021593,PF,Fare,HUH
5006,Moorea Temae Airport,-17.48979,-149.761777,PF,Moorea-Maiao,MOZ
